title,link,authors,publication
A hybrid tabu search algorithm for the nurse rostering problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:eflP2zaiRacC,"E Burke, PD Causmaecker, GV Berghe","Asia-Pacific Conference on Simulated Evolution and Learning, 187-194, 1998"
A hybrid heuristic ordering and variable neighbourhood search for the nurse rostering problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:Mojj43d5GZwC,"EK Burke, T Curtois, G Post, R Qu, B Veltman","European journal of operational research 188 (2), 330-341, 2008"
Multimeme algorithms for protein structure prediction,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:1qzjygNMrQYC,"N Krasnogor, BP Blackburne, EK Burke, JD Hirst","International Conference on Parallel Problem Solving from Nature, 769-778, 2002"
A hybrid model of integer programming and variable neighbourhood search for highly-constrained nurse rostering problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:nrtMV_XWKgEC,"EK Burke, J Li, R Qu","European Journal of Operational Research 203 (2), 484-493, 2010"
Hybrid evolutionary techniques for the maintenance scheduling problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:q3oQSFYPqjQC,"EK Burke, AJ Smith","IEEE transactions on power systems 15 (1), 122-128, 2000"
Personnel scheduling: Models and complexity,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:WHdLCjDvYFkC,"P Brucker, R Qu, E Burke","European Journal of Operational Research 210 (3), 467-473, 2011"
Examination timetabling in British universities: A survey,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:wbdj-CoPYUoC,"E Burke, D Elliman, P Ford, R Weare","International Conference on the Practice and Theory of Automated Timetabling …, 1995"
"Practice and Theory of Automated Timetabling V: 5th International Conference, PATAT 2004, Pittsburgh, PA, USA, August 18-20, 2004, Revised Selected Papers",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:Azgs6IHzeyYC,"E Burke, M Trick","Springer, 2005"
A new bottom-left-fill heuristic algorithm for the two-dimensional irregular packing problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:9vf0nzSNQJEC,"E Burke, R Hellier, G Kendall, G Whitwell","Operations Research 54 (3), 587-601, 2006"
Solving examination timetabling problems through adaption of heuristic orderings,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:XiVPGOgt02cC,"EK Burke, JP Newall","Annals of operations Research 129 (1), 107-134, 2004"
