title,link,authors,publication
Multi-neighbourhood particle collision algorithm for solving course timetabling problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:IjCSPb-OGe4C,"A Abuhamdah, M Ayob","2009 2nd Conference on Data Mining and Optimization, 21-27, 2009"
Big Bang-Big Crunch optimization algorithm to solve the course timetabling problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:3fE2CSJIrl8C,"GM Jaradat, M Ayob","2010 10th International conference on intelligent systems design and …, 2010"
Solving a practical examination timetabling problem: a case study,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:YsMSGLbcyi4C,"M Ayob, AMA Malik, S Abdullah, AR Hamdan, G Kendall, R Qu","International Conference on Computational Science and Its Applications, 611-624, 2007"
An elite pool-based big bang-big crunch metaheuristic for data clustering,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:eq2jaN3J8jMC,"I Al-Marashdeh, GM Jaradat, M Ayob, A Abu-Al-Aish, M Alsmadi","Journal of Computer Science 14 (12), 1611-1626, 2018"
An Exponential Monte-Carlo algorithm for feature selection problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:r0BpntZqJG4C,"S Abdullah, NR Sabar, MZA Nazri, M Ayob","Computers & Industrial Engineering 67, 160-167, 2014"
Real-time scheduling for multi headed placement machine,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:Tyk-4Ss8FVUC,"M Ayob, G Kendall","Proceedings of the IEEE International Symposium onAssembly and Task Planning …, 2003"
An elitist-ant system for solving the post-enrolment course timetabling problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:5nxA0vEk-isC,"GM Jaradat, M Ayob","Database theory and application, bio-science and bio-technology, 167-176, 2010"
A constructive shift patterns approach with simulated annealing for nurse rostering problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:KlAtU1dfN6UC,"M Hadwan, M Ayob","2010 International Symposium on Information Technology 1, 1-6, 2010"
Solving examination timetabling problems using honey-bee mating optimization (ETP-HBMO),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:LkGwnXOMwfcC,"NR Sabar, M Ayob, G Kendall","Proceedings of the 4th Multidisciplinary International Scheduling Conference …, 2009"
A practical examination timetabling problem at the Universiti Kebangsaan Malaysia,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:UebtZRa9Y70C,"M Ayob, S Abdullah, AMA Malik","International Journal of Computer Science and Network Security 7 (9), 198-204, 2007"
An adaptive hybrid algorithm for vehicle routing problems with time windows,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:q3oQSFYPqjQC,"ET Yassen, M Ayob, MZA Nazri, NR Sabar","Computers & Industrial Engineering 113, 382-391, 2017"
Tabu exponential monte-carlo with counter heuristic for examination timetabling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:eQOLeE2rZwMC,"NR Sabar, M Ayob, G Kendall","2009 IEEE Symposium on Computational Intelligence in Scheduling, 90-94, 2009"
The optimisation of the single surface mount device placement machine in printed circuit board assembly: a survey,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:0EnyYjriUFMC,"M Ayob, G Kendall","International Journal of Systems Science 40 (6), 553-569, 2009"
A new dynamic point specification approach to optimise surface mount placement machine in printed circuit board assembly,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:W7OEmFMy1HYC,"M Ayob, G Kendall","2002 IEEE International Conference on Industrial Technology, 2002. IEEE ICIT …, 2002"
Spoken language identification based on optimised genetic algorithm–extreme learning machine approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:UHK10RUVsp4C,"MAA Albadr, S Tiun, M Ayob, FT AL-Dhief","International Journal of Speech Technology 22 (3), 711-727, 2019"
Examination timetabling using scatter search hyper-heuristic,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:kNdYIx-mwKoC,"NR Sabar, M Ayob","2009 2nd Conference on Data Mining and Optimization, 127-131, 2009"
